C09 - Trapassato Remoto
Когда купил дом, стал работать (quando, ebbe comprare, casa, lavorare);Quando ebbe comprato la casa, lavorò
Когда пришёл домой, увидел подарок (quando, fu venire, casa, vedere, regalo);Quando fu venuto a casa, vide il regalo
Когда сделал подарок, пошёл на работу (quando, ebbe fare, regalo, andare, lavoro);Quando ebbe fatto il regalo, andò al lavoro
Как только купил ту самую машину, уехал (appena, ebbe comprare, macchina, partire);Appena ebbe comprato la macchina, partì
Когда написал книгу, купил тот самый большой дом (dopo che, ebbe scrivere, libro, comprare, casa, grande);Dopo che ebbe scritto il libro, comprò la casa grande
Когда та самая семья купила новый дом, стала жить там (quando, famiglia, ebbe comprare, casa, nuovo, abitare, lì);Quando la famiglia ebbe comprato la casa nuova, abitò lì
Как только пришли, приготовили ужин (appena, furono venire, cucinare, cena);Appena furono venuti, cucinarono la cena
Когда убрали ту самую кухню, стали работать (dopo che, ebbero pulire, cucina, lavorare);Dopo che ebbero pulito la cucina, lavorarono
Когда приготовила, позвала семью (quando, ebbe cucinare, chiamare, famiglia);Quando ebbe cucinato, chiamò la famiglia
Как только уехали, тот самый большой дом был пустой (appena, furono partire, casa, grande, essere);Appena furono partiti, la casa grande fu vuota
Когда купили ту самую красивую машину, стали работать вместе (quando, ebbero comprare, macchina, bello, lavorare, insieme);Quando ebbero comprato la macchina bella, lavorarono insieme
Когда сделал тот самый подарок, сказал (quando, ebbe fare, regalo, dire);Quando ebbe fatto il regalo, disse
